Components,Price (AED),Buy From,Links
Sensors/Displays,,,
Temperature Sensor (DHT11),Already Have,N/A,N/A
Accelerometer,Already Have,N/A,N/A
GPS Module ,29,Amazon,https://www.amazon.ae/HiLetgo-GY-NEO6MV2-Controller-Ceramic-Antenna/dp/B01D1D0F5M/ref=sr_1_2?sr=8-2
RTC Module,Already Have,N/A,N/A
Battery Level Indicator,53,Amazon,https://www.amazon.ae/Remaining-Percentage-Fahrenheit-Temperature-Indicator/dp/B0C4H1NNH4/ref=sr_1_1_sspa?sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1
DS18B20 Temp Sensor,47,Amazon,https://www.amazon.ae/VOANZO-Temperature-Waterproof-Stainless-Raspberry/dp/B0BWJQ4QWR/ref=sr_1_9?sr=8-9
OLED Display 2.8 inches,Already Have,N/A,N/A
RF Modules/Controllers,,,
ESP32,Already Have,N/A,N/A
LoRa Module (Transceiver),48,Amazon,https://www.amazon.ae/REYAX-RYLR689-Wireless-Include-Interface/dp/B0BNVKQ9JD/ref=sr_1_3?sr=8-3
Raspberry Pi Zero 2W,119,Amazon,https://www.amazon.ae/Raspberry-Pi-SC0510-Zero/dp/B09KLVX4RT/ref=sr_1_1?sr=8-1
Accessories,,,
Power Supply + Charger                                                                              ,73,Amazon,https://www.amazon.ae/OneAndes-8800mAh-Battery-Rechargeable-Batteries/dp/B09F2FR87Y/ref=sr_1_10?sr=8-10
Buck Converter ,Already Have,N/A,N/A
SD Card (64GB),18,Amazon,https://www.amazon.ae/Sandisk-Ultra-MicroSDXC-100Mb-SDSQUNR-064G-GN3MN/dp/B08HYFSXKW/ref=sr_1_1?sr=8-1
Power adapter for Pi,Already Have,N/A,N/A
SD Card Adapter,Already Have,N/A,N/A
LoRa antennas,44,Amazon,https://www.amazon.ae/DIYmall-915MHz-Antenna-Connector-Omni-Directional/dp/B0CY232Y7W/ref=sr_1_1?sr=8-1#customerReviews
Raspberry Pi Accessories,40,Amazon,https://www.amazon.ae/GeeekPi-Raspberry-Aluminum-Adapter-Heatsink/dp/B0BJ1WFGMN/ref=sr_1_3?sr=8-3
Total Cost:,471,,
